Date,Latitude,Longitude,Altitude,Accuracy,Speed,Bearing
2014-03-09 13:05:38.148,36.85102829,138.72517521,1643.0,11.0,0.0,0.0
2014-03-09 13:05:40.019,36.85103692,138.72519293,1643.0,4.0,0.0,0.0
2014-03-09 13:05:40.961,36.85106,138.72520088,1644.0,4.0,0.0,0.0
2014-03-09 13:05:41.955,36.85106,138.72520088,1644.0,5.0,0.0,0.0
2014-03-09 13:05:43.135,36.85106397,138.7252077,1644.0,4.0,0.0,0.0
2014-03-09 13:05:44.057,36.85106178,138.72521215,1644.0,4.0,0.0,0.0
2014-03-09 13:05:45.063,36.85106707,138.72521138,1643.0,3.0,0.0,0.0
2014-03-09 13:05:46.063,36.85107325,138.72521107,1642.0,3.0,0.0,0.0
2014-03-09 13:05:47.233,36.851074,138.72521482,1641.0,3.0,0.0,0.0
2014-03-09 13:05:49.163,36.85107336,138.7252179,1642.0,3.0,0.0,0.0
2014-03-09 13:05:50.079,36.85107281,138.72521791,1642.0,3.0,0.0,0.0
2014-03-09 13:05:51.019,36.85107191,138.72521789,1642.0,3.0,0.0,0.0
2014-03-09 13:05:52.103,36.85107132,138.72521811,1642.0,4.0,0.0,0.0
2014-03-09 13:05:53.018,36.85107137,138.72521817,1642.0,4.0,0.0,0.0
2014-03-09 13:05:54.025,36.85107155,138.72521647,1642.0,4.0,0.25,324.6
2014-03-09 13:05:55.014,36.85106252,138.72522583,1643.0,4.0,0.0,0.0
2014-03-09 13:05:55.999,36.85106731,138.72522525,1643.0,4.0,0.0,0.0
2014-03-09 13:05:56.994,36.85106622,138.72522588,1643.0,5.0,0.25,324.6
2014-03-09 13:05:58.034,36.85107438,138.72525461,1644.0,5.0,2.0,104.0
2014-03-09 13:05:59.214,36.85109432,138.72529334,1645.0,5.0,4.0,68.8
2014-03-09 13:06:00.174,36.85112334,138.7253422,1645.0,6.0,5.0,58.6
2014-03-09 13:06:02.000,36.8511966,138.72545805,1647.0,7.0,6.25,53.4
2014-03-09 13:06:03.040,36.85121299,138.72553088,1644.0,6.0,6.5,64.8
2014-03-09 13:06:04.040,36.85119901,138.72562618,1643.0,6.0,7.5,97.7
2014-03-09 13:06:04.988,36.85120916,138.72572297,1642.0,7.0,8.25,81.3
2014-03-09 13:06:06.022,36.85123786,138.72580035,1642.0,7.0,7.5,66.0
2014-03-09 13:06:07.112,36.85131197,138.72586168,1642.0,7.0,8.75,43.3
2014-03-09 13:06:08.051,36.85138057,138.72584049,1642.0,6.0,8.0,16.6
2014-03-09 13:06:09.203,36.85146405,138.72582408,1641.0,5.0,8.5,4.8
2014-03-09 13:06:11.006,36.85158792,138.72582358,1642.0,6.0,7.5,356.0
2014-03-09 13:06:12.022,36.85166556,138.72584437,1643.0,5.0,6.25,9.3
2014-03-09 13:06:13.038,36.85173296,138.72586401,1643.0,6.0,6.25,14.1
2014-03-09 13:06:14.096,36.85177795,138.72587637,1641.0,5.0,4.5,7.7
2014-03-09 13:06:15.060,36.85177457,138.72587865,1641.0,4.0,0.5,7.7
2014-03-09 13:06:16.045,36.85177096,138.7258706,1640.0,4.0,0.25,7.7
2014-03-09 13:06:16.987,36.85177938,138.72587664,1640.0,5.0,0.25,7.7
2014-03-09 13:06:17.989,36.85177219,138.72588449,1641.0,5.0,0.5,7.7
2014-03-09 13:06:18.996,36.8517647,138.72588624,1642.0,5.0,0.25,7.7
2014-03-09 13:06:20.030,36.85175382,138.72588773,1643.0,4.0,0.0,0.0
2014-03-09 13:06:20.994,36.85175043,138.72588292,1642.0,5.0,1.0,228.8
2014-03-09 13:06:22.110,36.85175018,138.72585271,1639.0,5.0,2.0,277.5
2014-03-09 13:06:23.011,36.85172762,138.72587555,1639.0,4.0,0.0,0.0
2014-03-09 13:06:24.267,36.85172312,138.72588061,1640.0,4.0,0.0,0.0
2014-03-09 13:06:25.990,36.85172777,138.72589266,1640.0,4.0,0.0,0.0
2014-03-09 13:06:27.049,36.85173103,138.72589584,1640.0,4.0,0.0,0.0
