Date,Light(lux)
2014-03-09 13:07:07.815,10240.0
2014-03-09 13:07:13.807,2600.0
2014-03-09 13:07:13.984,10240.0
2014-03-09 13:07:15.030,2600.0
2014-03-09 13:07:15.725,10240.0
2014-03-09 13:07:16.257,2600.0
2014-03-09 13:07:16.423,10240.0
2014-03-09 13:07:16.604,2600.0
2014-03-09 13:07:17.817,1280.0
2014-03-09 13:07:17.994,2600.0
2014-03-09 13:07:18.166,10240.0
2014-03-09 13:07:18.863,1280.0
2014-03-09 13:07:19.039,640.0
2014-03-09 13:07:19.240,1280.0
2014-03-09 13:07:19.561,2600.0
2014-03-09 13:07:19.735,10240.0
2014-03-09 13:07:23.745,1280.0
2014-03-09 13:07:24.105,2600.0
2014-03-09 13:07:24.270,10240.0
2014-03-09 13:07:24.443,2600.0
2014-03-09 13:07:24.625,640.0
2014-03-09 13:07:24.967,2600.0
2014-03-09 13:07:25.324,1280.0
2014-03-09 13:07:25.489,640.0
2014-03-09 13:07:25.664,2600.0
2014-03-09 13:07:25.842,1280.0
2014-03-09 13:07:26.016,320.0
2014-03-09 13:07:26.883,1280.0
2014-03-09 13:07:27.058,640.0
2014-03-09 13:07:27.241,320.0
2014-03-09 13:07:27.935,40.0
2014-03-09 13:07:28.104,10.0
2014-03-09 13:07:28.455,160.0
2014-03-09 13:07:28.626,320.0
2014-03-09 13:07:28.810,1280.0
2014-03-09 13:07:28.984,640.0
2014-03-09 13:07:29.161,2600.0
2014-03-09 13:07:29.504,320.0
2014-03-09 13:07:29.684,90.0
2014-03-09 13:07:29.847,10.0
2014-03-09 13:07:30.021,40.0
2014-03-09 13:07:30.204,225.0
2014-03-09 13:07:30.397,320.0
2014-03-09 13:07:30.719,640.0
2014-03-09 13:07:30.897,10240.0
2014-03-09 13:07:31.243,2600.0
2014-03-09 13:07:31.416,1280.0
2014-03-09 13:07:31.595,640.0
2014-03-09 13:07:31.765,320.0
2014-03-09 13:07:31.942,640.0
2014-03-09 13:07:32.462,1280.0
2014-03-09 13:07:32.642,320.0
2014-03-09 13:07:32.987,10240.0
2014-03-09 13:07:33.346,1280.0
2014-03-09 13:07:33.682,640.0
2014-03-09 13:07:33.856,225.0
2014-03-09 13:07:34.042,320.0
2014-03-09 13:07:35.082,1280.0
2014-03-09 13:07:35.425,640.0
2014-03-09 13:07:35.602,320.0
2014-03-09 13:07:35.950,1280.0
2014-03-09 13:07:36.123,640.0
2014-03-09 13:07:36.299,320.0
2014-03-09 13:07:37.866,640.0
2014-03-09 13:07:38.393,320.0
2014-03-09 13:07:39.101,1280.0
2014-03-09 13:07:39.792,640.0
2014-03-09 13:07:39.956,1280.0
2014-03-09 13:07:40.311,320.0
2014-03-09 13:07:41.006,640.0
2014-03-09 13:07:41.352,1280.0
2014-03-09 13:07:41.702,2600.0
2014-03-09 13:07:41.873,1280.0
2014-03-09 13:07:42.047,2600.0
2014-03-09 13:07:42.233,640.0
2014-03-09 13:07:42.396,10240.0
