Date,xsin(theta/2),ysin(theta/2),zsin(theta/2)
2014-03-09 13:07:07.951,0.51709634,0.3149412,-0.6170557
2014-03-09 13:07:07.972,0.29763448,0.18058929,-0.72309273
2014-03-09 13:07:07.991,0.18459094,0.07260421,-0.7589926
2014-03-09 13:07:08.011,0.14671338,0.05146192,-0.76039517
2014-03-09 13:07:08.031,0.11059636,0.049277436,-0.7580146
2014-03-09 13:07:08.052,0.06946335,0.048528936,-0.76315475
2014-03-09 13:07:08.072,0.07189728,0.028686518,-0.7652048
2014-03-09 13:07:08.096,0.07311585,-0.0026235098,-0.7614315
2014-03-09 13:07:08.112,0.06600645,-0.050450552,-0.7532796
2014-03-09 13:07:08.133,0.06658347,-0.08929606,-0.7424843
2014-03-09 13:07:08.155,0.0791221,-0.12495635,-0.73038626
2014-03-09 13:07:08.176,0.08768584,-0.1479946,-0.72085845
2014-03-09 13:07:08.192,0.091144636,-0.16008957,-0.71588403
2014-03-09 13:07:08.214,0.08466603,-0.15859699,-0.7158109
2014-03-09 13:07:08.233,0.08773017,-0.15736264,-0.71592313
2014-03-09 13:07:08.253,0.09572563,-0.15729739,-0.7155735
2014-03-09 13:07:08.273,0.103940345,-0.15970507,-0.7155518
2014-03-09 13:07:08.293,0.107944734,-0.16264547,-0.7160802
2014-03-09 13:07:08.317,0.10665207,-0.16203527,-0.7184652
2014-03-09 13:07:08.335,0.10693757,-0.16177167,-0.7207112
2014-03-09 13:07:08.352,0.11006774,-0.16001773,-0.7226193
2014-03-09 13:07:08.374,0.11734507,-0.15890217,-0.7232687
2014-03-09 13:07:08.394,0.12244482,-0.15661319,-0.724021
2014-03-09 13:07:08.416,0.12363597,-0.15426135,-0.7253396
2014-03-09 13:07:08.432,0.120837756,-0.1527987,-0.7275368
2014-03-09 13:07:08.452,0.117307216,-0.15338545,-0.72969145
2014-03-09 13:07:08.472,0.11595162,-0.15562676,-0.7307319
2014-03-09 13:07:08.501,0.11889771,-0.15977748,-0.72997963
2014-03-09 13:07:08.515,0.12135442,-0.16233537,-0.7295501
2014-03-09 13:07:08.535,0.12117291,-0.16232239,-0.73048
2014-03-09 13:07:08.551,0.12008332,-0.16112342,-0.73244077
2014-03-09 13:07:08.576,0.12034306,-0.16156013,-0.73394233
2014-03-09 13:07:08.603,0.12190899,-0.16363445,-0.7345864
2014-03-09 13:07:08.611,0.124713846,-0.16609478,-0.7350126
2014-03-09 13:07:08.632,0.12750791,-0.16606669,-0.7363272
2014-03-09 13:07:08.650,0.12926802,-0.1627853,-0.7383831
2014-03-09 13:07:08.670,0.13060597,-0.15879618,-0.7403737
2014-03-09 13:07:08.690,0.1324696,-0.157653,-0.74165106
2014-03-09 13:07:08.716,0.13428213,-0.15903975,-0.7433394
2014-03-09 13:07:08.730,0.13503851,-0.16105406,-0.7449455
2014-03-09 13:07:08.750,0.13286918,-0.1608821,-0.7483611
2014-03-09 13:07:08.770,0.13014188,-0.1606075,-0.75196034
2014-03-09 13:07:08.790,0.1274782,-0.16006775,-0.7550987
2014-03-09 13:07:08.810,0.12709604,-0.1607059,-0.75755703
2014-03-09 13:07:08.830,0.12796788,-0.16398555,-0.7593249
2014-03-09 13:07:08.852,0.12778972,-0.16758643,-0.76149976
2014-03-09 13:07:08.872,0.12602471,-0.16967322,-0.76453745
2014-03-09 13:07:08.894,0.12311176,-0.16954426,-0.7679775
2014-03-09 13:07:08.914,0.11996926,-0.16862999,-0.77077323
2014-03-09 13:07:08.935,0.1181116,-0.1682887,-0.7728266
2014-03-09 13:07:08.950,0.11814822,-0.16938038,-0.774188
2014-03-09 13:07:08.970,0.11964309,-0.17104153,-0.7753438
2014-03-09 13:07:08.990,0.12115638,-0.17132834,-0.77672374
2014-03-09 13:07:09.011,0.121980734,-0.1707858,-0.778191
2014-03-09 13:07:09.030,0.12259851,-0.17115262,-0.77880585
2014-03-09 13:07:09.050,0.12363107,-0.17316924,-0.7789236
2014-03-09 13:07:09.070,0.12511021,-0.17582136,-0.77880454
2014-03-09 13:07:09.090,0.12670209,-0.17744824,-0.7790814
2014-03-09 13:07:09.110,0.1276501,-0.17843546,-0.779351
2014-03-09 13:07:09.130,0.12756048,-0.17987585,-0.7795204
2014-03-09 13:07:09.152,0.12731054,-0.18189383,-0.77938396
2014-03-09 13:07:09.172,0.12745275,-0.1838034,-0.7787779
2014-03-09 13:07:09.195,0.1278942,-0.18507585,-0.77835935
2014-03-09 13:07:09.214,0.12838742,-0.1856613,-0.7779449
2014-03-09 13:07:09.234,0.1290828,-0.18645942,-0.7776688
2014-03-09 13:07:09.257,0.13018663,-0.18826063,-0.7771119
2014-03-09 13:07:09.276,0.13108812,-0.19095716,-0.7764658
2014-03-09 13:07:09.297,0.13186103,-0.19396755,-0.7758716
2014-03-09 13:07:09.317,0.13290048,-0.19601312,-0.7757788
2014-03-09 13:07:09.355,0.13412954,-0.19726972,-0.77602226
2014-03-09 13:07:09.363,0.13534833,-0.19837083,-0.77624995
2014-03-09 13:07:09.376,0.136096,-0.19985694,-0.7764273
2014-03-09 13:07:09.415,0.1362764,-0.2016014,-0.77668774
2014-03-09 13:07:09.426,0.13623628,-0.20254055,-0.7770125
2014-03-09 13:07:09.432,0.13619399,-0.20319524,-0.77720076
2014-03-09 13:07:09.451,0.13646074,-0.20358704,-0.77710825
2014-03-09 13:07:09.471,0.13647245,-0.20459257,-0.7768441
2014-03-09 13:07:09.495,0.13670278,-0.20689732,-0.7763582
2014-03-09 13:07:09.513,0.13768828,-0.20878708,-0.77615523
2014-03-09 13:07:09.532,0.13913238,-0.21029975,-0.7759971
2014-03-09 13:07:09.553,0.13998674,-0.21143377,-0.775902
2014-03-09 13:07:09.571,0.13966325,-0.21230696,-0.77605563
2014-03-09 13:07:09.600,0.13903776,-0.21357629,-0.776318
2014-03-09 13:07:09.617,0.13915123,-0.214325,-0.77652925
2014-03-09 13:07:09.637,0.1397862,-0.21407616,-0.7768541
2014-03-09 13:07:09.655,0.14031464,-0.21305354,-0.77743775
