Date,x(uT),y(uT),z(uT)
2014-03-09 15:34:15.958,19.14,-0.71999997,-40.44
2014-03-09 15:34:15.958,18.72,0.24,-40.5
2014-03-09 15:34:15.985,19.56,1.4399999,-41.04
2014-03-09 15:34:15.985,19.439999,0.59999996,-40.86
2014-03-09 15:34:15.986,19.02,1.1999999,-41.04
2014-03-09 15:34:15.992,19.38,1.26,-41.46
2014-03-09 15:34:16.003,18.66,1.26,-41.7
2014-03-09 15:34:16.005,19.14,0.96,-41.28
2014-03-09 15:34:16.015,19.26,1.0799999,-41.52
2014-03-09 15:34:16.026,19.5,0.96,-41.7
2014-03-09 15:34:16.036,19.199999,0.65999997,-41.94
2014-03-09 15:34:16.046,19.199999,0.53999996,-42.18
2014-03-09 15:34:16.056,19.38,0.42,-42.42
2014-03-09 15:34:16.066,19.439999,0.12,-42.239998
2014-03-09 15:34:16.076,19.619999,-0.06,-42.239998
2014-03-09 15:34:16.086,19.619999,-0.06,-42.48
2014-03-09 15:34:16.096,19.619999,-0.06,-42.54
2014-03-09 15:34:16.107,19.56,-0.06,-42.48
2014-03-09 15:34:16.116,19.68,0.12,-42.3
2014-03-09 15:34:16.127,19.8,0.12,-42.18
2014-03-09 15:34:16.137,19.98,0.0,-41.76
2014-03-09 15:34:16.147,19.8,0.12,-41.76
2014-03-09 15:34:16.157,19.98,0.06,-41.94
2014-03-09 15:34:16.168,19.98,-0.06,-41.94
2014-03-09 15:34:16.178,20.1,-0.12,-41.76
2014-03-09 15:34:16.188,20.16,0.0,-41.82
2014-03-09 15:34:16.198,20.34,-0.29999998,-41.94
2014-03-09 15:34:16.209,20.279999,-0.12,-42.059998
2014-03-09 15:34:16.218,20.34,-0.17999999,-42.0
2014-03-09 15:34:16.229,20.58,0.0,-42.0
2014-03-09 15:34:16.239,20.52,-0.06,-41.76
2014-03-09 15:34:16.252,20.58,-0.12,-41.46
2014-03-09 15:34:16.260,20.52,0.06,-41.579998
2014-03-09 15:34:16.272,20.58,0.0,-41.52
2014-03-09 15:34:16.280,20.52,0.12,-41.46
2014-03-09 15:34:16.293,20.58,0.12,-41.46
2014-03-09 15:34:16.300,20.52,0.17999999,-41.52
2014-03-09 15:34:16.312,20.52,-0.06,-41.64
2014-03-09 15:34:16.321,20.52,-0.17999999,-41.52
2014-03-09 15:34:16.332,20.64,0.06,-41.579998
2014-03-09 15:34:16.341,20.76,-0.12,-41.7
2014-03-09 15:34:16.352,20.64,-0.17999999,-41.579998
2014-03-09 15:34:16.360,20.64,-0.29999998,-41.579998
2014-03-09 15:34:16.375,20.58,-0.35999998,-41.34
2014-03-09 15:34:16.384,20.699999,-0.53999996,-41.46
2014-03-09 15:34:16.400,20.58,-0.53999996,-41.46
2014-03-09 15:34:16.402,20.4,-0.48,-41.52
2014-03-09 15:34:16.412,20.16,-0.65999997,-41.46
2014-03-09 15:34:16.423,19.98,-0.48,-41.28
2014-03-09 15:34:16.443,19.92,-0.42,-41.399998
2014-03-09 15:34:16.465,19.859999,-0.12,-41.28
2014-03-09 15:34:16.484,19.98,-0.17999999,-41.28
2014-03-09 15:34:16.504,19.92,0.06,-41.219997
2014-03-09 15:34:16.524,19.98,0.0,-41.28
2014-03-09 15:34:16.551,20.1,-0.06,-41.28
2014-03-09 15:34:16.564,20.279999,0.0,-41.34
2014-03-09 15:34:16.584,20.279999,-0.24,-41.34
2014-03-09 15:34:16.604,20.4,-0.06,-41.34
2014-03-09 15:34:16.624,20.34,0.0,-41.46
2014-03-09 15:34:16.644,20.22,-0.06,-41.64
2014-03-09 15:34:16.664,20.279999,0.0,-41.76
2014-03-09 15:34:16.685,20.279999,0.42,-42.0
2014-03-09 15:34:16.704,20.279999,0.78,-42.12
2014-03-09 15:34:16.725,20.46,1.02,-42.48
2014-03-09 15:34:16.745,20.58,1.62,-42.899998
2014-03-09 15:34:16.765,20.34,1.68,-43.02
2014-03-09 15:34:16.787,20.64,2.22,-43.8
2014-03-09 15:34:16.816,20.58,2.82,-43.92
2014-03-09 15:34:16.831,20.76,3.24,-44.46
2014-03-09 15:34:16.850,20.82,3.72,-45.059998
2014-03-09 15:34:16.869,20.82,3.8999999,-45.059998
2014-03-09 15:34:16.891,20.34,3.84,-44.82
2014-03-09 15:34:16.909,20.22,3.6599998,-44.46
2014-03-09 15:34:16.929,20.22,3.78,-44.34
2014-03-09 15:34:16.950,20.039999,3.4199998,-43.5
2014-03-09 15:34:16.970,19.859999,3.24,-43.44
2014-03-09 15:34:16.990,19.619999,2.8799999,-42.84
2014-03-09 15:34:17.009,19.5,2.3999999,-42.059998
2014-03-09 15:34:17.029,19.38,2.1599998,-41.76
2014-03-09 15:34:17.050,19.439999,2.1599998,-41.7
2014-03-09 15:34:17.070,19.32,2.34,-41.7
2014-03-09 15:34:17.090,19.32,2.52,-41.76
2014-03-09 15:34:17.110,19.26,2.9399998,-41.94
2014-03-09 15:34:17.156,19.439999,3.78,-41.879997
2014-03-09 15:34:17.172,19.26,5.04,-41.7
2014-03-09 15:34:17.176,18.96,6.72,-41.399998
2014-03-09 15:34:17.194,18.9,8.639999,-41.219997
2014-03-09 15:34:17.214,18.66,11.4,-40.559998
2014-03-09 15:34:17.234,18.42,14.16,-40.079998
2014-03-09 15:34:17.254,18.119999,17.039999,-39.12
2014-03-09 15:34:17.281,17.699999,19.92,-38.04
2014-03-09 15:34:17.300,17.279999,22.68,-37.2
2014-03-09 15:34:17.323,16.98,25.08,-36.239998
2014-03-09 15:34:17.344,16.859999,26.82,-35.46
2014-03-09 15:34:17.364,16.74,28.26,-34.86
2014-03-09 15:34:17.384,16.619999,28.859999,-34.68
2014-03-09 15:34:17.409,16.44,29.16,-34.38
2014-03-09 15:34:17.429,16.5,29.34,-34.26
2014-03-09 15:34:17.450,16.8,29.099998,-34.14
2014-03-09 15:34:17.469,17.1,28.5,-34.32
2014-03-09 15:34:17.490,17.58,27.42,-34.92
2014-03-09 15:34:17.509,17.64,26.099998,-35.82
2014-03-09 15:34:17.530,17.58,24.779999,-36.54
2014-03-09 15:34:17.553,17.699999,23.22,-37.32
2014-03-09 15:34:17.570,17.88,21.359999,-38.04
2014-03-09 15:34:17.591,17.82,19.199999,-39.12
2014-03-09 15:34:17.609,17.64,16.8,-40.26
2014-03-09 15:34:17.637,17.58,14.82,-41.1
2014-03-09 15:34:17.653,17.34,12.96,-41.76
2014-03-09 15:34:17.672,17.16,11.5199995,-42.0
2014-03-09 15:34:17.692,17.34,10.08,-42.239998
2014-03-09 15:34:17.714,17.34,9.0,-42.48
2014-03-09 15:34:17.732,17.22,8.34,-42.899998
2014-03-09 15:34:17.749,17.22,7.56,-42.66
2014-03-09 15:34:17.768,16.98,7.2,-42.78
2014-03-09 15:34:17.791,16.98,6.66,-42.84
2014-03-09 15:34:17.815,16.8,6.24,-42.78
2014-03-09 15:34:17.829,17.1,6.06,-42.899998
2014-03-09 15:34:17.851,17.039999,5.7,-42.84
2014-03-09 15:34:17.914,17.039999,5.16,-42.6
2014-03-09 15:34:17.926,17.52,4.44,-42.3
2014-03-09 15:34:17.933,17.58,3.8999999,-42.3
2014-03-09 15:34:17.936,17.82,3.4199998,-42.059998
2014-03-09 15:34:17.956,17.82,2.8799999,-41.82
2014-03-09 15:34:17.971,18.119999,2.46,-41.76
2014-03-09 15:34:17.991,18.359999,1.68,-41.579998
2014-03-09 15:34:18.012,18.72,1.3199999,-41.34
2014-03-09 15:34:18.032,19.14,1.0799999,-41.46
2014-03-09 15:34:18.056,19.32,0.84,-41.399998
2014-03-09 15:34:18.072,19.92,0.65999997,-41.34
2014-03-09 15:34:18.093,20.52,0.42,-41.34
2014-03-09 15:34:18.113,21.24,0.29999998,-40.98
2014-03-09 15:34:18.135,21.66,0.29999998,-40.86
2014-03-09 15:34:18.153,21.84,0.48,-40.739998
2014-03-09 15:34:18.173,21.9,0.53999996,-40.739998
2014-03-09 15:34:18.194,22.08,0.24,-40.68
2014-03-09 15:34:18.213,22.08,0.42,-40.68
2014-03-09 15:34:18.234,21.96,0.59999996,-40.559998
2014-03-09 15:34:18.254,21.779999,0.65999997,-40.68
2014-03-09 15:34:18.274,21.42,0.9,-40.92
2014-03-09 15:34:18.296,21.119999,0.96,-40.98
2014-03-09 15:34:18.319,20.88,1.02,-41.1
2014-03-09 15:34:18.334,20.82,0.96,-41.28
2014-03-09 15:34:18.354,20.64,1.3199999,-41.579998
2014-03-09 15:34:18.374,20.4,1.86,-42.059998
2014-03-09 15:34:18.394,20.16,2.22,-42.42
2014-03-09 15:34:18.415,20.16,2.9399998,-43.079998
2014-03-09 15:34:18.435,20.16,3.0,-43.32
2014-03-09 15:34:18.455,20.52,3.48,-44.219997
2014-03-09 15:34:18.475,20.4,3.54,-44.399998
2014-03-09 15:34:18.496,20.46,3.72,-44.7
2014-03-09 15:34:18.515,20.58,4.2599998,-45.239998
2014-03-09 15:34:18.535,20.76,3.9599998,-45.12
2014-03-09 15:34:18.555,20.76,3.84,-45.059998
2014-03-09 15:34:18.576,20.76,3.4199998,-44.579998
2014-03-09 15:34:18.596,20.699999,3.4199998,-44.52
2014-03-09 15:34:18.616,20.279999,2.9399998,-43.739998
2014-03-09 15:34:18.636,20.4,3.12,-43.559998
2014-03-09 15:34:18.656,20.039999,3.06,-43.079998
2014-03-09 15:34:18.676,19.859999,2.7,-42.42
2014-03-09 15:34:18.697,19.56,2.6399999,-42.12
2014-03-09 15:34:18.717,19.619999,2.52,-41.82
2014-03-09 15:34:18.737,19.26,2.52,-41.579998
2014-03-09 15:34:18.757,19.02,2.52,-41.7
2014-03-09 15:34:18.777,18.96,2.82,-41.82
2014-03-09 15:34:18.797,18.779999,2.76,-41.879997
2014-03-09 15:34:18.817,19.02,2.8799999,-41.879997
2014-03-09 15:34:18.837,19.02,2.8799999,-41.64
2014-03-09 15:34:18.857,19.08,3.1799998,-41.7
2014-03-09 15:34:18.878,19.02,3.36,-41.94
2014-03-09 15:34:18.914,19.26,3.4199998,-42.18
2014-03-09 15:34:18.924,19.26,3.54,-42.059998
2014-03-09 15:34:18.940,19.26,3.48,-42.059998
