Date,accelX-gX(m/s^2),accelY-gY(m/s^2),accelZ-gZ(m/s^2)
2014-03-09 15:36:07.343,-4.4436383,4.175488,6.742072
2014-03-09 15:36:07.363,-2.6431987,3.9073372,9.80665
2014-03-09 15:36:07.383,-2.183512,3.5242648,8.619126
2014-03-09 15:36:07.403,-2.3750482,3.064578,7.8912888
2014-03-09 15:36:07.423,-2.3750482,2.6431987,8.925584
2014-03-09 15:36:07.444,-3.371036,1.6089035,8.350976
2014-03-09 15:36:07.463,-3.7924154,1.5705963,8.159439
2014-03-09 15:36:07.483,-3.7541082,1.8387469,8.695741
2014-03-09 15:36:07.503,-3.371036,1.9153614,9.040505
2014-03-09 15:36:07.524,-2.7581203,1.7621324,7.5465236
2014-03-09 15:36:07.545,-2.7964275,2.183512,7.1634517
2014-03-09 15:36:07.564,-3.1028855,3.1794999,7.929596
2014-03-09 15:36:07.583,-3.2944214,3.7541082,9.193734
2014-03-09 15:36:07.604,-2.7964275,2.566584,9.040505
2014-03-09 15:36:07.625,-2.834735,2.1068976,8.389283
2014-03-09 15:36:07.643,-3.1411927,2.1452048,7.699753
2014-03-09 15:36:07.664,-3.217807,2.4899697,7.8146744
2014-03-09 15:36:07.683,-3.1411927,2.719813,8.274361
2014-03-09 15:36:07.704,-3.1411927,2.336741,8.350976
2014-03-09 15:36:07.724,-3.1794999,2.183512,8.542512
2014-03-09 15:36:07.743,-3.064578,1.4939818,8.887277
2014-03-09 15:36:07.763,-3.064578,1.532289,8.772355
2014-03-09 15:36:07.783,-2.873042,1.7238252,8.504205
2014-03-09 15:36:07.806,-3.0262709,2.030283,8.389283
2014-03-09 15:36:07.824,-3.1794999,1.1109096,8.925584
2014-03-09 15:36:07.844,-2.9879637,0.842759,8.963891
2014-03-09 15:36:07.864,-2.566584,0.91937345,9.423578
2014-03-09 15:36:07.884,-1.9153614,1.0342951,9.653421
2014-03-09 15:36:07.904,-1.9919758,0.9576807,9.998186
2014-03-09 15:36:07.936,-2.336741,1.4939818,10.342952
2014-03-09 15:36:07.948,-2.1068976,0.9576807,9.653421
2014-03-09 15:36:07.970,-1.9153614,0.7661445,8.772355
2014-03-09 15:36:07.985,-1.685518,0.9959879,8.810662
2014-03-09 15:36:08.005,-1.4939818,0.91937345,9.155427
2014-03-09 15:36:08.026,-1.1875241,1.2641385,9.346964
2014-03-09 15:36:08.044,-0.842759,1.1109096,8.963891
2014-03-09 15:36:08.064,-1.3790601,0.842759,8.312668
2014-03-09 15:36:08.086,-1.3024458,0.80445176,8.350976
2014-03-09 15:36:08.111,-0.9576807,0.9576807,8.580819
2014-03-09 15:36:08.123,-0.7661445,1.0342951,8.887277
2014-03-09 15:36:08.143,-0.45968673,1.0342951,8.42759
2014-03-09 15:36:08.163,-0.38307226,0.91937345,7.967903
2014-03-09 15:36:08.183,-0.15322891,0.61291564,7.776367
2014-03-09 15:36:08.203,0.2681506,-0.45968673,8.887277
2014-03-09 15:36:08.230,0.61291564,-0.842759,9.80665
2014-03-09 15:36:08.246,0.9959879,-0.8810662,10.113108
2014-03-09 15:36:08.266,1.4173675,-0.7661445,9.461885
2014-03-09 15:36:08.287,2.528277,-0.5363012,7.967903
2014-03-09 15:36:08.318,3.2561142,-0.038307227,7.8529816
2014-03-09 15:36:08.324,3.9073372,-0.38307226,8.236053
2014-03-09 15:36:08.343,4.098873,-0.7661445,8.197746
2014-03-09 15:36:08.368,4.1371803,-1.2258313,7.6231384
2014-03-09 15:36:08.384,4.4819455,-1.0726024,6.7803793
2014-03-09 15:36:08.407,5.2480903,-0.6512229,6.742072
2014-03-09 15:36:08.430,5.8226986,-0.5363012,7.5082164
2014-03-09 15:36:08.444,5.66947,-2.030283,7.776367
2014-03-09 15:36:08.468,5.094861,-2.6431987,7.1251445
2014-03-09 15:36:08.494,5.133168,-3.3327289,5.171476
2014-03-09 15:36:08.526,6.6271505,-4.5202527,5.8226986
2014-03-09 15:36:08.549,7.0102224,-5.631162,6.7803793
2014-03-09 15:36:08.568,6.742072,-7.73806,7.393295
2014-03-09 15:36:08.603,6.3206925,-8.159439,6.0525417
2014-03-09 15:36:08.624,6.895301,-8.00621,5.2480903
2014-03-09 15:36:08.658,7.469909,-8.082825,5.056554
