Date,x(m/s^2),y(m/s^2),z(m/s^2)
2014-03-09 15:36:07.414,-2.6443985,3.4075677,8.8071575
2014-03-09 15:36:07.434,-2.4580064,3.090892,8.9763565
2014-03-09 15:36:07.454,-2.858962,2.6447816,9.000103
2014-03-09 15:36:07.474,-3.1824262,2.3210843,8.98082
2014-03-09 15:36:07.495,-3.2380035,2.0981514,9.015736
2014-03-09 15:36:07.515,-3.1141243,1.9549978,9.091236
2014-03-09 15:36:07.535,-3.0242333,1.9322143,9.126387
2014-03-09 15:36:07.555,-2.9863887,2.0340436,9.116716
2014-03-09 15:36:07.576,-2.9385219,2.1798918,9.098545
2014-03-09 15:36:07.595,-2.8891296,2.2628226,9.094116
2014-03-09 15:36:07.615,-2.8553052,2.1372452,9.135087
2014-03-09 15:36:07.634,-2.903764,1.9994152,9.151003
2014-03-09 15:36:07.655,-2.9971519,1.9325843,9.135241
2014-03-09 15:36:07.675,-3.0335355,1.9146062,9.12701
2014-03-09 15:36:07.695,-2.9943142,1.9017682,9.142633
2014-03-09 15:36:07.714,-2.9663992,1.8224373,9.167855
2014-03-09 15:36:07.734,-2.9475513,1.7294996,9.191907
2014-03-09 15:36:07.757,-2.9029047,1.5567554,9.236884
2014-03-09 15:36:07.775,-2.8745213,1.4254566,9.266908
2014-03-09 15:36:07.795,-2.8282816,1.3678664,9.289788
2014-03-09 15:36:07.815,-2.8192456,1.3650714,9.292945
2014-03-09 15:36:07.834,-2.814112,1.2112716,9.315792
2014-03-09 15:36:07.856,-2.7561946,0.98388577,9.359793
2014-03-09 15:36:07.875,-2.5809536,0.809806,9.426202
2014-03-09 15:36:07.895,-2.3163617,0.74163383,9.500255
2014-03-09 15:36:07.917,-2.1495678,0.71416986,9.541473
2014-03-09 15:36:07.940,-2.1155922,0.7753397,9.544291
2014-03-09 15:36:07.955,-2.1024644,0.74126816,9.5499
2014-03-09 15:36:07.977,-2.058117,0.6475077,9.566362
2014-03-09 15:36:07.995,-1.9520518,0.6275526,9.589891
2014-03-09 15:36:08.015,-1.849238,0.6001521,9.6119995
2014-03-09 15:36:08.035,-1.7901065,0.6324455,9.6211195
2014-03-09 15:36:08.055,-1.7494665,0.63049924,9.628717
2014-03-09 15:36:08.079,-1.8235948,0.5607804,9.619271
2014-03-09 15:36:08.105,-1.8186612,0.52252203,9.62236
2014-03-09 15:36:08.119,-1.7299798,0.49462038,9.640171
2014-03-09 15:36:08.134,-1.629951,0.5310366,9.655654
2014-03-09 15:36:08.154,-1.523655,0.5495216,9.671965
2014-03-09 15:36:08.174,-1.4093053,0.5351917,9.690088
2014-03-09 15:36:08.193,-1.2033417,0.4362442,9.722759
2014-03-09 15:36:08.220,-0.76652765,-0.05649892,9.776483
2014-03-09 15:36:08.235,-0.40887624,-0.40799648,9.789624
2014-03-09 15:36:08.256,-0.054049198,-0.69957393,9.781516
2014-03-09 15:36:08.277,0.27804133,-0.86968553,9.764052
2014-03-09 15:36:08.298,0.75189286,-0.9453967,9.731972
2014-03-09 15:36:08.319,1.3680454,-0.9071431,9.668295
2014-03-09 15:36:08.334,1.891944,-0.94307196,9.576093
2014-03-09 15:36:08.354,2.408595,-1.1265632,9.439276
